filtered,baseline
1.0,1.0266801451342131
1.0,1.0560138635666192
1.0,1.0266801451342131
1.0,1.0483870967741937
1.0,1.0630539559903966
1.0,1.0560138635666192
1.0,1.0524938173547305
1.0,1.041347004350416
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.0560138635666192
1.0,1.041347004350416
1.0,0.9826795674856039
1.0,1.01201328591801
1.0,1.041347004350416
1.0,0.997346426701807
1.0,0.997346426701807
1.0,1.01201328591801
1.0,0.997346426701807
1.0,1.01201328591801
1.0,0.997346426701807
1.0,0.9826795674856039
1.0,1.0560138635666192
1.0,0.997346426701807
1.0,0.9680127082694009
1.0,0.997346426701807
1.0,0.9680127082694009
1.0,0.9826795674856039
1.0,0.9826795674856039
1.0,0.9680127082694009
1.0,0.9680127082694009
1.0,0.9826795674856039
1.0,0.9533458490531979
1.0,1.01201328591801
1.0,1.01201328591801
1.0,1.01201328591801
1.0,1.01201328591801
1.0,0.9680127082694009
1.0,0.9533458490531979
1.0,0.9533458490531979
1.0,0.997346426701807
1.0,0.9897196599093815
1.0,1.041347004350416
1.0,1.01201328591801
1.0,1.041347004350416
1.0,1.0483870967741937
1.0,1.041347004350416
1.0,1.01201328591801
1.0,1.0266801451342131
1.0,1.01201328591801
1.0,1.01201328591801
1.0,1.01201328591801
1.0,1.0266801451342131
1.0,0.997346426701807
1.0,0.997346426701807
1.0,1.0266801451342131
1.0,0.9897196599093815
1.0,0.9826795674856039
1.0,0.997346426701807
1.0,0.9680127082694009
1.0,0.9680127082694009
1.0,1.0266801451342131
1.0,0.997346426701807
1.0,1.01201328591801
1.0,1.01201328591801
1.0,0.997346426701807
1.0,0.9826795674856039
1.0,1.0266801451342131
1.0,1.0560138635666192
1.0,1.0630539559903966
1.0,1.0923876744228027
1.0,1.1146813004314313
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
1.0,1.0777208152065998
